sedol,aims,annual_charge,annual_saving,bid_price,citicode,closed_fund,company_id,company_name,cost_segment,full_description,fund_name,fund_size,historic_yield,holding_fee,icvc,initial_charge,initial_commission,initial_saving,is_oeic,isaable,kiid,launch_currency,launchdate,lsmininv,lump_sum_min_inv,net_annual_charge,num_holdings,offer_price,other_expenses,payment_frequency,payment_type,percent_change,perf0t12m,perf120m,perf12m,perf12t24m,perf24t36m,perf36m,perf36t48m,perf3m,perf48t60m,perf60m,perf6m,reg_saver,reg_saver_min_inv,sector_id,sector_name,sicav,sippable,total_expenses,tracker,unit_type,update_time,updated,valuation_frequency,fund_yield,Wealth150
BG094Y0,"The Fund aims to maximise the return on your investment through a combination of capital growth and income on the Funds assets. The Fund invests at least 70% of its total assets in the equity securities (e.g. shares) of companies globally whose predominant economic activity comprises the research, development, production and/or distribution of new and emerging technology. The Fund will focus on next generation technology themes including artificial intelligence, computing, automation, robotics, technological analytics, e-commerce, payment systems, communications technology and generative design. In normal market conditions the Fund will invest in equity securities of companies with large, medium and small market capitalisation (market capitalisation is the share price of the company multiplied by the number of shares issued). Although it is likely that most of the Funds investments will be in companies located in developed markets globally, the Fund may also invest in emerging markets.",1.8,0.0,186.04,PHXH,0,2075,BlackRock,5,BlackRock Next Generation Technology (A2 SEK),BlackRock Next Generation Technology (A2 SEK),1962.2,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,2018-10-04,100.0,100.0,1.8,85.0,186.04,0.3,Annually,Dividend,-0.05,-1.81,0.0,-1.81,24.26,-4.39,16.66,-29.58,-7.85,55.29,27.58,-11.04,0,0.0,134,Technology & Tech Innovations,1,1,1.8,0,Accumulation,2025-05-28,2025-05-28,Daily,0.0,0
BN0W2P5,"The Fund aims to maximise the return on your investment through a combination of capital growth and income on the Funds assets. The Fund invests at least 70% of its total assets in the equity securities (e.g. shares) of companies globally whose predominant economic activity comprises the research, development, production and/or distribution of new and emerging technology. The Fund will focus on next generation technology themes including artificial intelligence, computing, automation, robotics, technological analytics, e-commerce, payment systems, communications technology and generative design. In normal market conditions the Fund will invest in equity securities of companies with large, medium and small market capitalisation (market capitalisation is the share price of the company multiplied by the number of shares issued). Although it is likely that most of the Funds investments will be in companies located in developed markets globally, the Fund may also invest in emerging markets.",0.98,0.0,1517.0,LA7B,0,2075,BlackRock,3,BlackRock Next Generation Technology (D2 GBP),BlackRock Next Generation Technology (D2 GBP),1962.2,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,2018-10-04,100.0,100.0,0.98,85.0,1517.0,0.3,Annually,Dividend,0.33,-1.05,0.0,-1.05,25.35,-3.86,19.24,-28.84,-7.86,0.0,0.0,-10.74,1,25.0,134,Technology & Tech Innovations,1,1,0.98,0,Accumulation,2025-05-28,2025-05-28,Daily,0.0,0
B84T7V8,"The Fund aims to maximise the return on your investment through a combination of capital growth and income on the Funds assets. The Fund invests globally at least 70% of its total assets in the equity securities (e.g. shares) of companies engaged in any activity forming part of the food and agriculture value chain, including packaging, processing, distribution, technology, food and agriculture-related services, seeds, agricultural or food-grade chemicals and food producers. The investment adviser (IA) may use financial derivative instruments (FDIs) (i.e. investments the prices of which are based on one or more underlying assets) for investment purposes in order to achieve the investment objective of the Fund, and/or to reduce risk within the Funds portfolio, reduce investment costs and generate additional income. The Fund may, via FDIs, generate varying amounts of market leverage (i.e. where the Fund gains market exposure in excess of the value of its assets). The Fund is actively managed. The IA has discretion to select the Funds investments and is not constrained by any benchmark in this process. The MSCI All Countries World Index should be used by investors to compare the performance of the Fund. Recommendation: This Fund may not be appropriate for short-term investment. Your shares will be non-distributing (i.e. dividend income will be included in their value).",1.0,0.0,1081.0,F2TH,0,2075,BlackRock,3,BlackRock Nutrition (D4 GBP Hedged),BlackRock Nutrition (D4 GBP Hedged),129.4,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,2001-04-06,100.0,100.0,1.0,47.0,1081.0,0.32,Annually,Dividend,0.0,1.53,0.0,1.53,-4.99,-14.78,-17.8,-20.43,0.75,50.63,-1.46,-1.64,1,25.0,129,Specialist,1,1,1.0,0,Income,2025-05-28,2025-05-28,Daily,0.0,0
BDCNSK3,"The Fund aims to achieve a positive absolute return through a combination of capital growth and income on your investment regardless of market conditions. The Fund will provide exposure to several investment styles including, (i) Value: focuses on investments that appear relatively cheap with the aim of outperformance relative to expensive assets. The Fund aims to achieve a positive absolute return through a combination of capital growth and income on your investment regardless of market conditions. The Fund will provide exposure to several investment styles including, (i) Value: focuses on investments that appear relatively cheap with the aim of outperformance relative to expensive assets.",0.97,0.0,133.13,E7SR,0,2075,BlackRock,2,BlackRock Style Advantage,BlackRock Style Advantage,115.0,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,2016-02-29,100.0,100.0,0.97,1738.0,133.13,0.42,N/a,No income,0.02,8.67,0.0,8.67,9.25,15.59,37.23,17.92,-3.22,-14.67,38.08,2.58,1,25.0,71,Offshore,1,1,0.97,0,Accumulation,2025-05-28,2025-05-28,Daily,0.0,0
BYYQ551,"The Fund aims to achieve a positive absolute return through a combination of capital growth and income on your investment regardless of market conditions. The Fund will provide exposure to several investment styles including, (i) Value: focuses on investments that appear relatively cheap with the aim of outperformance relative to expensive assets. The Fund aims to achieve a positive absolute return through a combination of capital growth and income on your investment regardless of market conditions. The Fund will provide exposure to several investment styles including, (i) Value: focuses on investments that appear relatively cheap with the aim of outperformance relative to expensive assets.",0.97,0.0,11482.0,NTU9,0,2075,BlackRock,2,BlackRock Style Advantage (D2 GBP Hedged),BlackRock Style Advantage (D2 GBP Hedged),115.0,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,2016-02-29,100.0,100.0,0.97,1738.0,11482.0,0.42,N/a,No income,0.01,14.79,0.0,14.79,12.95,12.7,46.12,5.0,3.54,-1.06,51.8,9.44,1,25.0,71,Offshore,1,1,0.97,0,Accumulation,2025-05-28,2025-05-28,Daily,0.0,0
BZ6DDJ7,"The BlackRock Sterling Strategic Bond Fund aims to generate income returns with the prospect of capital growth through an actively managed portfolio of predominantly fixed income securities. The Fund will invest mainly in a range of sterling denominated investment grade non-government fixed income securities. However, the full spectrum of available securities, including non-investment grade, emerging market and government fixed income securities, may be utilised.",0.59,0.0,135.22799999999998,N78R,0,2075,BlackRock,2,BlackRock Sust Sterling Strategic Bond (Class D),BlackRock Sterling Sust Strategic Bond (Class D),96.6,0.0,0.0,0,0.0,0.0,0.0,0,1,1,GBP,2016-05-17,100.0,100.0,0.59,150.0,135.79399999999998,0.09,Bi-annually,Interest,-0.17,5.88,0.0,5.88,7.54,-1.52,12.14,-6.14,0.95,9.53,15.28,2.46,1,25.0,152,GBP Strategic Bond,0,1,0.59,0,Accumulation,2025-05-28,2025-05-28,Daily,4.34,0
BZ6DDM0,"The BlackRock Sterling Strategic Bond Fund aims to generate income returns with the prospect of capital growth through an actively managed portfolio of predominantly fixed income securities. The Fund will invest mainly in a range of sterling denominated investment grade non-government fixed income securities. However, the full spectrum of available securities, including non-investment grade, emerging market and government fixed income securities, may be utilised.",0.59,0.0,106.91999999999999,N78S,0,2075,BlackRock,2,BlackRock Sust Sterling Strategic Bond (Class D),BlackRock Sterling Sust Strategic Bond (Class D),96.6,0.0,0.0,0,0.0,0.0,0.0,0,1,1,GBP,2016-05-17,100.0,100.0,0.59,150.0,107.36699999999999,0.09,Bi-annually,Interest,-0.17,5.88,0.0,5.88,7.55,-1.53,12.14,-6.17,0.94,9.62,15.34,2.46,1,25.0,152,GBP Strategic Bond,0,1,0.59,0,Income,2025-05-28,2025-05-28,Daily,4.34,0
B3KTK85,The New Energy Fund seeks to maximise total return. The Fund invests globally at least 70% of its total assets in the equity securities of new energy companies. New energy companies are those which are engaged in alternative energy and energy technologies including: renewable energy technology; renewable energy developers; alternative fuels; energy efficiency; enabling energy and infrastructure.,1.21,0.0,19.01,AXA4,0,2075,BlackRock,5,BlackRock Sustainable Energy (Class D2),BlackRock Sustainable Energy (Class D2),3413.1,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,2001-04-06,100.0,100.0,1.21,56.0,19.01,0.31,Annually,Dividend,0.05,-10.54,0.0,-10.54,2.23,12.37,2.76,1.23,0.71,47.17,53.1,-6.18,1,25.0,129,Specialist,1,1,1.21,0,Accumulation,2025-05-28,2025-05-28,Daily,0.0,0
B62H2K4,The New Energy Fund seeks to maximise total return. The Fund invests globally at least 70% of its total assets in the equity securities of new energy companies. New energy companies are those which are engaged in alternative energy and energy technologies including: renewable energy technology; renewable energy developers; alternative fuels; energy efficiency; enabling energy and infrastructure.,1.2,0.0,1288.0,FOO9,0,2075,BlackRock,5,BlackRock Sustainable Energy (Class D4),BlackRock Sustainable Energy (Class D4),3413.1,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,2001-04-06,100.0,100.0,1.2,56.0,1288.0,0.3,Annually,Dividend,0.55,-10.68,0.0,-10.68,2.43,12.5,2.93,0.8,0.63,47.99,53.55,-6.5,1,25.0,129,Specialist,1,1,1.2,0,Income,2025-05-28,2025-05-28,Daily,0.0,0
BQ717R3,"The BlackRock Global Long/Short Equity Fund seeks to achieve a positive absolute return for investors regardless of market movements. The Fund will seek to achieve this investment objective by taking long, synthetic long and synthetic short investment exposures. The Fund will seek to gain at least 70% of its investment exposure through equities and equity-related securities (including derivatives) of, or giving exposure to, companies domiciled in, or exercising the predominant part of their economic activity in developed markets. The Fund will seek to achieve this investment objective by investing at least 70% of its total assets in equities and equity-related securities and, when determined appropriate, cash and near-cash instruments. The Fund will be highly diversified across the universe of global developed market securities, whilst seeking to generate returns with a low correlation to the global developed equity market. In order to achieve the investment objective and policy, the Fund will invest in a variety of investment strategies and instruments. The Fund intends to take full advantage of the ability to invest in derivatives providing synthetic long and/or synthetic short positions with the aim of maximising positive returns.",1.68,0.0,14202.000000000002,FN4W,0,2075,BlackRock,5,BlackRock Systematic Globl Long Short Equity (D2),BlackRock Systematic Global Long Short Equity (D2 GBP),37.8,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,2014-06-02,100.0,100.0,1.68,4775.0,14202.000000000002,0.48,N/a,No income,0.03,10.5,0.0,10.5,21.48,2.88,38.1,-4.81,4.45,5.0,38.02,4.91,0,0.0,71,Offshore,1,1,1.68,0,Accumulation,2025-05-28,2025-05-28,Daily,0.0,0
B5ZNQ99,"BlackRock UK Absolute Alpha Fund seeks to achieve a positive absolute return for investors and, as such, the Fund will not be managed against any UK equity index. The Fund will seek to achieve this investment objective by taking long positions and using derivatives to take synthetic long and synthetic short investment positions. The Fund primarily aims to gain investment exposure to equities and equity-related securities of, or giving exposure to, companies incorporated or listed in the UK. In order to gain this exposure, the Fund invests primarily in derivatives, equities and equity-related securities and, when determined appropriate, cash and near cash. The Fund may also invest in other transferable securities, permitted money-market instruments, permitted deposits and units in collective investment schemes.",0.92,0.0,188.812,FMP0,0,2075,BlackRock,4,BlackRock UK Absolute Alpha (Class D),BlackRock UK Absolute Alpha (Class D),131.5,0.72,0.0,0,0.0,0.0,0.0,0,1,1,GBP,2005-04-29,100.0,100.0,0.92,125.0,189.1,0.17,Bi-annually,Dividend,0.19,1.48,0.0,1.48,7.89,5.58,15.6,6.83,-0.88,0.0,23.49,-1.95,1,25.0,136,Targeted Absolute Return,0,1,0.92,0,Accumulation,2025-05-28,2025-05-28,Daily,0.72,0
B669PN0,BlackRock UK Equity Fund aims to maximise the total return to investors from a combination of capital growth and income by investing largely in the ordinary shares of United Kingdom companies in any and all economic sectors. The Fund is intended for investment by bodies such as pension funds. The Fund may also invest in collective investment schemes.,0.91,0.0,2746.0969999999998,08Q0,0,2075,BlackRock,4,BlackRock UK Equity (Class D Dist),BlackRock UK Equity (Class D Dist),313.4,2.12,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1971-10-15,100.0,100.0,0.91,143.0,2764.013,0.16,Bi-annually,Dividend,-0.4,7.52,0.0,7.52,14.31,5.32,29.45,1.29,1.02,19.58,56.78,4.78,1,25.0,101,UK All Companies,0,1,0.91,0,Income,2025-05-28,2025-05-28,Daily,2.12,0
B586CB9,To achieve long-term capital growth for investors.  The Fund invests primarily in the shares of larger companies incorporated or listed in the UK. The Fund may also invest in collective investment schemes.,0.91,0.0,473.19500000000005,00PG,0,2075,BlackRock,4,BlackRock UK Fund (Class D),BlackRock UK Fund (Class D),368.7,1.61,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1993-11-30,100.0,100.0,0.91,52.0,475.998,0.16,Bi-annually,Dividend,-0.29,3.35,0.0,3.35,15.67,-0.51,18.93,-11.36,-0.54,18.66,25.08,1.57,1,25.0,101,UK All Companies,0,1,0.91,0,Income,2025-05-28,2025-05-28,Daily,1.61,0
B5YKQK2,To achieve long-term capital growth for investors.  The Fund invests primarily in the shares of larger companies incorporated or listed in the UK. The Fund may also invest in collective investment schemes.,0.91,0.0,790.245,K9K8,0,2075,BlackRock,4,BlackRock UK Fund (Class D),BlackRock UK Fund (Class D),368.7,1.61,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1993-11-30,100.0,100.0,0.91,52.0,794.927,0.16,Bi-annually,Dividend,-0.29,3.35,0.0,3.35,15.66,-0.51,18.92,-11.36,-0.54,18.65,25.07,1.57,1,25.0,101,UK All Companies,0,1,0.91,0,Accumulation,2025-05-28,2025-05-28,Daily,1.61,0
B67DWR4,The aim of the BlackRock UK Income Fund is to offer investors an above-average and growing income without sacrificing the benefits of long-term capital growth. The Fund invests primarily in the shares of companies incorporated or listed in the UK. The Fund may also invest in collective investment schemes.,0.81,0.0,510.67400000000004,I8V1,0,2075,BlackRock,3,BlackRock UK Income (Class D),BlackRock UK Income (Class D),588.2,3.55,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1984-03-16,100.0,100.0,0.81,49.0,513.686,0.06,Quarterly,Dividend,-0.27,6.04,0.0,6.04,11.62,4.8,24.04,7.29,0.8,19.31,58.78,4.66,1,25.0,103,UK Equity Income,0,1,0.81,0,Income,2025-05-28,2025-05-28,Daily,3.55,0
B67DWT6,The aim of the BlackRock UK Income Fund is to offer investors an above-average and growing income without sacrificing the benefits of long-term capital growth. The Fund invests primarily in the shares of companies incorporated or listed in the UK. The Fund may also invest in collective investment schemes.,0.81,0.0,2457.558,00PH,0,2075,BlackRock,3,BlackRock UK Income (Class D),BlackRock UK Income (Class D),588.2,3.55,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1984-03-16,100.0,100.0,0.81,49.0,2472.052,0.06,Quarterly,Dividend,-0.27,6.04,0.0,6.04,11.61,4.79,24.02,7.29,0.8,19.33,58.78,4.66,1,25.0,103,UK Equity Income,0,1,0.81,0,Accumulation,2025-05-28,2025-05-28,Daily,3.55,0
B4LHDZ3,The aim of the BlackRock UK Smaller Companies Fund is to achieve long term capital growth for investors. The Fund invests primarily in the shares of smaller companies incorporated or listed in the UK which we consider to have above average growth prospects. The Fund may also invest in collective investment schemes. Smaller companies are those whose market capitalisations are similar to that of companies in the Hoare Govett Smaller Companies plus AiM ex-Investment Trusts Index at the time of the Funds investment.,0.91,0.0,1197.172,04RY,0,2075,BlackRock,4,BlackRock UK Smaller Companies (Class D),BlackRock UK Smaller Companies (Class D),311.0,1.91,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1987-05-08,100.0,100.0,0.91,95.0,1210.7939999999999,0.16,Bi-annually,Dividend,0.31,-8.05,0.0,-8.05,14.39,-14.09,-9.64,-13.5,1.46,49.85,17.13,-4.77,1,25.0,118,UK Smaller Companies,0,1,0.91,0,Accumulation,2025-05-28,2025-05-28,Daily,1.91,0
B8BS332,The aim of the BlackRock UK Smaller Companies Fund is to achieve long term capital growth for investors. The Fund invests primarily in the shares of smaller companies incorporated or listed in the UK which we consider to have above average growth prospects. The Fund may also invest in collective investment schemes. Smaller companies are those whose market capitalisations are similar to that of companies in the Hoare Govett Smaller Companies plus AiM ex-Investment Trusts Index at the time of the Funds investment.,0.91,0.0,800.153,GU0N,0,2075,BlackRock,4,BlackRock UK Smaller Companies (Class D),BlackRock UK Smaller Companies (Class D),311.0,1.91,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1987-05-08,100.0,100.0,0.91,95.0,809.2599999999999,0.16,Bi-annually,Dividend,0.31,-8.08,0.0,-8.08,14.41,-14.09,-9.65,-13.54,1.43,49.86,17.07,-4.8,1,25.0,118,UK Smaller Companies,0,1,0.91,0,Income,2025-05-28,2025-05-28,Daily,1.91,0
B3R25W6,The aim of the BlackRock UK Special Situations Fund is to achieve long-term capital growth for investors. The Fund invests primarily in the shares of companies incorporated or listed in the UK and will normally have an emphasis on small or medium sized companies. The Fund may also invest in collective investment schemes. Small and medium sized companies are those whose market capitalisation is lower than that of companies in the FTSE 100 Index at the time of the Funds investment.,0.91,0.0,2676.159,00PI,0,2075,BlackRock,4,BlackRock UK Special Situations (D),BlackRock UK Special Situations (Class D),337.4,2.2,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1987-02-28,100.0,100.0,0.91,78.0,2695.703,0.16,Bi-annually,Dividend,-0.05,-1.33,0.0,-1.33,10.65,-1.34,7.71,-9.14,0.98,31.57,28.76,-0.72,1,25.0,101,UK All Companies,0,1,0.91,0,Income,2025-05-28,2025-05-28,Daily,2.2,0
B3V1C06,The aim of the BlackRock UK Special Situations Fund is to achieve long-term capital growth for investors. The Fund invests primarily in the shares of companies incorporated or listed in the UK and will normally have an emphasis on small or medium sized companies. The Fund may also invest in collective investment schemes. Small and medium sized companies are those whose market capitalisation is lower than that of companies in the FTSE 100 Index at the time of the Funds investment.,0.91,0.0,5685.982,IVZ0,0,2075,BlackRock,4,BlackRock UK Special Situations (D),BlackRock UK Special Situations (Class D),337.4,2.2,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1987-02-28,100.0,100.0,0.91,78.0,5727.507,0.16,Bi-annually,Dividend,-0.05,-1.33,0.0,-1.33,10.64,-1.34,7.7,-9.13,0.98,31.55,28.73,-0.72,1,25.0,101,UK All Companies,0,1,0.91,0,Accumulation,2025-05-28,2025-05-28,Daily,2.2,0
B7W0426,The United Kingdom Fund seeks to maximise total return. The Fund invests at least 70% of its total assets in the equity securities of companies incorporated or listed in the UK.,1.06,0.0,11959.0,F2SS,0,2075,BlackRock,3,BlackRock United Kingdom (D4 GBP),BlackRock United Kingdom (D4 GBP),172.4,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,1985-12-31,100.0,100.0,1.06,44.0,11959.0,0.31,Annually,Dividend,-0.31,8.44,0.0,8.44,15.73,3.22,29.54,-10.71,-0.56,19.79,38.55,3.19,1,25.0,71,Offshore,1,1,1.06,0,Income,2025-05-28,2025-05-28,Daily,0.0,0
B87XJQ6,"To achieve long-term capital growth for investors.  The Fund invests primarily in the shares of companies incorporated or listed in the United States which we consider exhibit either growth or value investment characteristics, placing an emphasis as the market outlook warrants. The Fund may also invest in collective investment schemes.",0.89,0.0,3105.05,GTZX,0,2075,BlackRock,4,BlackRock US Dynamic (Class D),BlackRock US Dynamic (Class D),210.0,0.17,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1982-12-31,100.0,100.0,0.89,33.0,3107.167,0.14,Annually,Dividend,0.71,3.37,0.0,3.37,20.81,5.62,31.91,9.37,-5.55,29.67,87.08,-3.57,1,25.0,110,North America,0,1,0.89,0,Accumulation,2025-05-28,2025-05-28,Daily,0.17,0
B8GKJQ8,"To achieve long-term capital growth for investors.  The Fund invests primarily in the shares of companies incorporated or listed in the United States which we consider exhibit either growth or value investment characteristics, placing an emphasis as the market outlook warrants. The Fund may also invest in collective investment schemes.",0.89,0.0,2754.911,GTZY,0,2075,BlackRock,4,BlackRock US Dynamic (Class D),BlackRock US Dynamic (Class D),210.0,0.17,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1982-12-31,100.0,100.0,0.89,33.0,2756.7889999999998,0.14,Annually,Dividend,0.71,3.37,0.0,3.37,20.81,5.62,31.9,9.39,-5.55,29.64,87.06,-3.57,1,25.0,110,North America,0,1,0.89,0,Income,2025-05-28,2025-05-28,Daily,0.17,0
B80S7M0,The aim of the BlackRock US Opportunities Fund is to achieve long-term capital growth for investors. The Fund invests primarily in shares of medium and smaller companies incorporated or listed in the United States. The Fund may also invest in collective investment schemes.,0.89,0.0,1725.2040000000002,GU00,0,2075,BlackRock,4,BlackRock US Opportunities (Class D),BlackRock US Opportunities (Class D),122.4,1.12,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1987-05-08,100.0,100.0,0.89,121.0,1727.5759999999998,0.14,Annually,Dividend,1.02,-2.56,0.0,-2.56,15.71,-4.23,7.98,16.24,-8.08,38.24,73.52,-11.63,1,25.0,110,North America,0,1,0.89,0,Income,2025-05-28,2025-05-28,Daily,1.12,0
B8GMZS8,The aim of the BlackRock US Opportunities Fund is to achieve long-term capital growth for investors. The Fund invests primarily in shares of medium and smaller companies incorporated or listed in the United States. The Fund may also invest in collective investment schemes.,0.89,0.0,1912.5240000000001,GTZZ,0,2075,BlackRock,4,BlackRock US Opportunities (Class D),BlackRock US Opportunities (Class D),122.4,1.12,0.0,0,0.0,0.0,0.0,0,1,1,GBP,1987-05-08,100.0,100.0,0.89,121.0,1915.154,0.14,Annually,Dividend,1.02,-2.57,0.0,-2.57,15.7,-4.23,7.97,16.27,-8.08,38.22,73.52,-11.63,1,25.0,110,North America,0,1,0.89,0,Accumulation,2025-05-28,2025-05-28,Daily,1.12,0
B85H9Z9,"The World Healthscience Fund seeks to maximise total return. The Fund invests globally at least 70% of its total assets in the equity securities of companies whose predominant economic activity is in healthcare, pharmaceuticals, medical technology and supplies and the development of biotechnology. Currency exposure is flexibly managed.",1.04,0.0,65.79,F36B,0,2075,BlackRock,6,BlackRock World Healthscience (D2 EUR),BlackRock World Healthscience (D2 EUR),13590.5,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,2002-10-31,100.0,100.0,1.04,92.0,65.79,0.29,Annually,Dividend,0.61,-12.34,0.0,-12.34,9.59,3.85,-0.23,12.98,-15.2,5.83,19.29,-12.98,1,25.0,48,Unclassified,1,1,1.04,0,Accumulation,2025-05-28,2025-05-28,Daily,0.0,0
B43GMP1,"The World Healthscience Fund seeks to maximise total return. The Fund invests globally at least 70% of its total assets in the equity securities of companies whose predominant economic activity is in healthcare, pharmaceuticals, medical technology and supplies and the development of biotechnology. Currency exposure is flexibly managed.",1.04,0.0,74.4,BND4,0,2075,BlackRock,2,BlackRock World Healthscience (D2 USD),BlackRock World Healthscience (D2 USD),13590.5,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,2002-10-31,100.0,100.0,1.04,92.0,74.4,0.29,Annually,Dividend,0.24,-12.25,0.0,-12.25,9.35,3.71,-0.48,13.38,-15.21,5.66,19.23,-12.75,1,25.0,71,Offshore,1,1,1.04,0,Accumulation,2025-05-28,2025-05-28,Daily,0.0,0
BK6KTX9,"The World Healthscience Fund seeks to maximise total return. The Fund invests globally at least 70% of its total assets in the equity securities of companies whose predominant economic activity is in healthcare, pharmaceuticals, medical technology and supplies and the development of biotechnology. Currency exposure is flexibly managed.",1.03,0.0,1276.0,QYM2,0,2075,BlackRock,2,BlackRock World Healthscience (D5 GBP),BlackRock World Healthscience (D5 GBP),13590.5,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,2002-10-31,100.0,100.0,1.03,92.0,1276.0,0.28,Annually,Dividend,0.71,-12.36,0.0,-12.36,9.56,3.79,-0.34,13.0,-15.29,6.12,19.51,-13.03,1,25.0,71,Offshore,1,1,1.03,0,Income,2025-05-28,2025-05-28,Daily,0.0,0
B8KMZ39,The World Technology Fund seeks to maximise total return. The Fund invests globally at least 70% of its total assets in the equity securities of companies whose predominant economic activity is in the technology sector.,1.03,0.0,7889.0,F36D,0,2075,BlackRock,6,BlackRock World Technology (D2 GBP),BlackRock World Technology (D2 GBP),11278.1,0.0,0.0,0,5.0,0.0,5.0,0,1,1,USD,1995-03-03,100.0,100.0,1.03,66.0,7889.0,0.28,Annually,Dividend,0.92,5.46,0.0,5.46,35.9,8.49,55.5,-14.58,-5.74,38.5,83.97,-6.16,1,25.0,48,Unclassified,1,1,1.03,0,Accumulation,2025-05-28,2025-05-28,Daily,0.0,0
BQ832J5,,0.46,0.0,10381.0,AH592,0,84806,BlueBay,1,BlueBay Emerging Market Aggregate Bond (K),BlueBay Emerging Market Aggregate Bond (Class K),661.9,0.0,0.0,0,0.0,0.0,0.0,0,1,0,,0000-00-00,100.0,100.0,0.46,291.0,10381.0,0.16,N/a,Dividend,0.34,8.19,0.0,8.19,0.0,0.0,0.0,0.0,-0.66,0.0,0.0,1.49,1,25.0,106,Global Bonds,0,1,0.46,0,Income,2025-05-28,2025-05-27,Daily,0.0,0
BQ832M8,,0.46,0.0,11886.0,ARDK8,0,84806,BlueBay,1,BlueBay Emerging Market Aggregate Bond (K),BlueBay Emerging Market Aggregate Bond (Class K),661.9,0.0,0.0,0,0.0,0.0,0.0,0,1,0,,0000-00-00,100.0,100.0,0.46,291.0,11886.0,0.16,N/a,Dividend,0.34,8.19,0.0,8.19,0.0,0.0,0.0,0.0,-0.66,0.0,0.0,1.48,1,25.0,106,Global Bonds,0,1,0.46,0,Accumulation,2025-05-28,2025-05-27,Daily,0.0,0
BLGW6B9,,0.85,0.0,12979.0,V32W,0,84806,BlueBay,5,BlueBay Emerging Market Unconstrained Bond (Q),BlueBay Emerging Market Unconstrained Bond (Class Q),501.8,0.0,0.0,0,0.0,0.0,0.0,0,1,0,,0000-00-00,100.0,100.0,0.85,233.0,12979.0,0.2,N/a,Dividend,0.42,11.76,0.0,11.76,0.0,0.0,0.0,0.0,-0.16,0.0,0.0,2.19,1,25.0,106,Global Bonds,0,1,0.85,0,Accumulation,2025-05-28,2025-05-27,Daily,0.0,0
BSCC2G9,,0.85,0.0,10212.0,AYW5J,0,84806,BlueBay,5,BlueBay Emerging Market Unconstrained Bond (Q),BlueBay Emerging Market Unconstrained Bond (Class Q),501.8,0.0,0.0,0,0.0,0.0,0.0,0,1,0,,0000-00-00,100.0,100.0,0.85,233.0,10212.0,0.2,N/a,Dividend,0.41,11.73,0.0,11.73,0.0,0.0,0.0,0.0,-0.17,0.0,0.0,2.17,1,25.0,106,Global Bonds,0,1,0.85,0,Income,2025-05-28,2025-05-27,Daily,0.0,0
BJCWQR5,"The fund aims to make a return for you through a mixture of
generating income and growing the amount you originally invested. It
mainly invests in bonds that pay a fixed interest.",0.6,0.0,13177.000000000002,P2PM,0,84806,BlueBay,3,BlueBay Global High Yield ESG (S),BlueBay Global High Yield ESG (Class S),479.1,0.0,0.0,0,0.0,0.0,0.0,0,1,0,USD,2002-12-04,100.0,100.0,0.6,247.0,13177.000000000002,0.2,N/a,Dividend,0.42,8.67,0.0,8.67,12.11,-0.81,20.84,-6.81,0.37,14.56,29.01,2.66,1,25.0,106,Global Bonds,1,1,0.6,0,Accumulation,2025-05-28,2025-05-27,Daily,0.0,0
BP6HHG4,"The fund aims to make a return for you through a mixture of
generating income and growing the amount you originally invested. It
mainly invests in bonds that pay a fixed interest.",0.6,0.0,8668.0,QYHS,0,84806,BlueBay,3,BlueBay Global High Yield ESG (S),BlueBay Global High Yield ESG (Class S),479.1,0.0,0.0,0,0.0,0.0,0.0,0,1,0,USD,2002-12-04,100.0,100.0,0.6,247.0,8668.0,0.2,N/a,Dividend,0.43,8.65,0.0,8.65,12.08,-0.83,20.77,-6.79,0.39,0.0,0.0,2.66,1,25.0,106,Global Bonds,1,1,0.6,0,Income,2025-05-28,2025-05-27,Daily,0.0,0
